"CCSBT Registration Number","Vessel Group","Vessel Name","Flag","Authorising Entity","Callsign","Vessel Registration Number","IMO","Tonnage","Vessel Type","Gear Type","Authorisation From","Authorisation To"
"FV04529","Fishing","ACECHADOR","Spain","Spain","EABX","UNKNOWN","8715742","275.1","Longliners","Longline","01/01/2016","31/12/2017"
"FV04282","Fishing","ACTIVE","South Africa","South Africa","ZR6054","CT713","8623511","150.6","Longliners","Longline","01/02/2016","31/01/2017"
"FV06312","Fishing","AGIOS NIKOLAUS","Spain","Spain","EA4214","UNKNOWN","8960517","98.2","Longliners","Longline","01/01/2016","31/12/2017"
"FV05553","Fishing","AGUAS SANTAS","Portugal","Portugal","CUTG","AH-768-C","","232.7","Longliners","Longline","01/01/2010","31/12/2020"
"FV06195","Fishing","AKUA PASIFIK","Indonesia","Indonesia","YEC 4067","30 NO. 225/BB","","30.0","Longliners","Longline","04/08/2015","22/08/2016"
"FV06279","Fishing","ALAM PRIMA","Indonesia","Indonesia","YEB 5733","29 NO. 1703/BC","","29.0","Longliners","Longline","24/04/2015","23/06/2016"
"FV06273","Fishing","ALAM SUTERA","Indonesia","Indonesia","YEB. 4859","25 NO. 1539/BC","","25.0","Longliners","Longline","24/04/2015","22/06/2016"
"FV04511","Fishing","ALCYON","Portugal","Portugal","CUMC","L-4-N","","350.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV06294","Fishing","ALEATHA T","New Zealand","New Zealand","ZMF4401","901283","","62.0","Longliners","Unspecified Method","01/01/2016","31/12/2016"
"FV04530","Fishing","ALEXIA","Spain","Spain","EA2781","UNKNOWN","9150585","99.2","Longliners","Longline","01/01/2016","31/12/2017"
"FV02313","Fishing","ALICE DELL","New Zealand","New Zealand","ZM2865","32864","","50.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV04500","Fishing","ALMA LUSA","Portugal","Portugal","CUPV3","PM-1269-N","","602.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV02723","Fishing","ALTAIR III","New Zealand","New Zealand","ZM2750","63695","","98.3","Longliners","Longline","01/01/2016","31/12/2016"
"FV00761","Fishing","AMALTAL APOLLO","New Zealand","New Zealand","ZMOR","62373","8615851","335.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV00765","Fishing","AMALTAL COLUMBIA","New Zealand","New Zealand","ZMAC","62779","8913265","1 899.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV00771","Fishing","AMALTAL ENTERPRISE","New Zealand","New Zealand","ZMKW","63966","8619534","2 412.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV00769","Fishing","AMALTAL EXPLORER","New Zealand","New Zealand","ZMTZ","62311","8510805","1 386.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV00746","Fishing","AMALTAL MARINER","New Zealand","New Zealand","ZMAM","63146","9132466","498.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV06101","Fishing","AMANDA","Indonesia","Indonesia","YEB 5754","29 NO.1308/PD","","29.0","Longliners","Longline","12/11/2015","27/11/2016"
"FV04513","Fishing","ANTONIO MARIA","Portugal","Portugal","CUEX3","V-1072-C","","288.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV03347","Fishing","APOLLO","New Zealand","New Zealand","ZM6291","8120","","24.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV02286","Fishing","AQUILA","New Zealand","New Zealand","ZM4053","32482","","35.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV04514","Fishing","ARTICO","Portugal","Portugal","CUFX","PD-400-N","","764.0","Gill netters","Gillnet","08/04/2010","31/12/2020"
"FV02204","Fishing","ASTA MARU","New Zealand","New Zealand","ZMA3731","16114","","26.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV04265","Fishing","ATU-S","South Africa","South Africa","ZR2884","CT721","","199.4","Longliners","Longline","01/02/2016","31/01/2017"
"FV00755","Fishing","AUKAHA","New Zealand","New Zealand","ZMPD","63284","9144108","1 226.0","Trawlers","Mid-water Trawl,Troll,Unspecified Trawl","01/01/2016","31/12/2016"
"FV04841","Fishing","BAHARI - 07","Indonesia","Indonesia","YE. 4819","98 NO. 201/PD","","98.0","Longliners","Longline","19/08/2015","25/10/2016"
"FV04842","Fishing","BAHARI - 09","Indonesia","Indonesia","YE. 4821","87 NO. 699/DA","","87.0","Longliners","Longline","18/08/2015","25/10/2016"
"FV04849","Fishing","BAHARI - 6","Indonesia","Indonesia","YE. 4818","107 NO. 712/FP","","107.0","Longliners","Longline","26/06/2015","06/07/2016"
"FV04853","Fishing","BAHARI - 699","Indonesia","Indonesia","YE. 5074","144 NO. 882/PD","","144.0","Longliners","Longline","18/08/2015","25/10/2016"
"FV05839","Fishing","BAHARI - 89","Indonesia","Indonesia","YEB. 4209","163 NO. 1231/PD","","163.0","Longliners","Longline","25/06/2015","22/07/2016"
"FV04854","Fishing","BAHARI - 98","Indonesia","Indonesia","YEA. 4591","133 NO. 1141/PD","","133.0","Longliners","Longline","07/07/2015","07/07/2016"
"FV04855","Fishing","BAHARI 116","Indonesia","Indonesia","YE. 4950","167 NO. 922/PD","","167.0","Longliners","Longline","30/05/2015","29/05/2016"
"FV04856","Fishing","BAHARI 368","Indonesia","Indonesia","YE. 5903","147 NO. 462/PD","","147.0","Longliners","Longline","25/04/2015","24/04/2016"
"FV04857","Fishing","BAHARI 668","Indonesia","Indonesia","YE. 5933","149 NO. 473/PD","","149.0","Longliners","Longline","11/06/2015","10/06/2016"
"FV01382","Fishing","BALANCE","South Africa","South Africa","ZR3123","CT830","","64.4","Longliners","Longline","01/02/2016","31/01/2017"
"FV04534","Fishing","BALUEIRO SEGUNDO","Spain","Spain","EHPX","UNKNOWN","8822404","149.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV05690","Fishing","BANDAR BAHARI - 18","Indonesia","Indonesia","YEB 5255","59 NO. 759/NA","","59.0","Longliners","Longline","25/08/2015","24/08/2016"
"FV06336","Fishing","BANDAR BAHARI - 188","Indonesia","Indonesia","YEB 5702","45 NO. 809/NA","","45.0","Longliners","Longline","31/07/2015","30/07/2016"
"FV06299","Fishing","BANDAR BAHARI - 28","Indonesia","Indonesia","YEB 5599","30 NO. 1146/NA","","30.0","Longliners","Longline","22/06/2015","10/09/2016"
"FV05691","Fishing","BANDAR BAHARI - 68","Indonesia","Indonesia","YEB 5256","58 NO. 606/NA","","58.0","Longliners","Longline","25/08/2015","25/08/2016"
"FV04880","Fishing","BANDAR NELAYAN - 102","Indonesia","Indonesia","YEA 5332","143 NO.611/PD","","143.0","Longliners","Longline","04/09/2015","21/08/2016"
"FV04882","Fishing","BANDAR NELAYAN - 126","Indonesia","Indonesia","YE. 5548","133 NO.800/PD","","133.0","Longliners","Longline","29/05/2015","17/07/2016"
"FV04883","Fishing","BANDAR NELAYAN - 127","Indonesia","Indonesia","YEA. 5620","131 NO. 804/PD","","131.0","Longliners","Longline","28/05/2015","17/07/2016"
"FV05809","Fishing","BANDAR NELAYAN - 226","Indonesia","Indonesia","YE. 4853","95 NO. 1283/PD","","95.0","Longliners","Longline","04/11/2015","12/10/2016"
"FV05728","Fishing","BANDAR NELAYAN - 280","Indonesia","Indonesia","YEB. 5212","128 NO.1227/PD","","128.0","Longliners","Longline","26/05/2015","08/05/2016"
"FV05852","Fishing","BANDAR NELAYAN - 80","Indonesia","Indonesia","YEB 5391","53 NO. 1608/PD","","53.0","Longliners","Longline","14/07/2015","12/08/2016"
"FV06127","Fishing","BANDAR TUNA JAYA - 3","Indonesia","Indonesia","YEC 4033","30 NO. 239/BB","","30.0","Longliners","Longline","30/09/2015","22/12/2016"
"FV05668","Fishing","BINA HASIL - I","Indonesia","Indonesia","YEA 5395","98 NO. 1536/PD","","98.0","Longliners","Longline","18/08/2015","17/08/2016"
"FV06067","Fishing","BINA HASIL JAYA 16","Indonesia","Indonesia","YEB. 5133","56 NO. 1518/PD","","56.0","Longliners","Longline","11/11/2015","10/11/2016"
"FV06300","Fishing","BINA HASIL JAYA XII","Indonesia","Indonesia","YEB 5129","30 NO. 1325/PD","","30.0","Longliners","Longline","13/10/2015","18/01/2017"
"FV06337","Fishing","BINA KAWAN SETIA - I","Indonesia","Indonesia","YE. 8233","29 NO. 630/PD","","29.0","Longliners","Longline","12/11/2015","30/11/2016"
"FV05792","Fishing","BINTANG BAHAGIA","Indonesia","Indonesia","YE. 4855","84 NO.678/HHA","","84.0","Longliners","Longline","03/07/2015","24/07/2016"
"FV06100","Fishing","BINTANG BAHARI","Indonesia","Indonesia","YEB. 5385","29 NO. 429/GE","","29.0","Longliners","Longline","17/06/2015","21/06/2016"
"FV06275","Fishing","BINTANG MAS - 5","Indonesia","Indonesia","YEB. 4201","27 NO. 1690/DA","","27.0","Longliners","Longline","25/05/2015","20/08/2016"
"FV05673","Fishing","BINTANG MUTIARA XVIII","Indonesia","Indonesia","YE. 4427","108 NO.2445/BC","","108.0","Longliners","Longline","15/05/2015","14/05/2016"
"FV05315","Fishing","BLUE DOLPHIN","South Africa","South Africa","ZR4747","CTA715","","91.0","Longliners","Longline","01/02/2016","31/01/2017"
"FV05747","Fishing","BLUE MISTRESS","New Zealand","New Zealand","ZMW4950","901126","","78.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV04564","Fishing","BONDANA","Spain","Spain","ECAU","UNKNOWN","9098610","372.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04537","Fishing","BOUSO","Spain","Spain","ECBD","UNKNOWN","9098622","267.9","Longliners","Longline","01/01/2016","31/12/2017"
"FV06032","Fishing","BRID VOYAGER","New Zealand","New Zealand","ZME3688","901204","","50.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV06283","Fishing","CAHAYA BUANA","Indonesia","Indonesia","YEB 5640","29 NO. 1555/FP","","29.0","Longliners","Longline","10/08/2015","25/09/2016"
"FV06202","Fishing","CAHAYA MAKMUR I","Indonesia","Indonesia","YEB 5161","29 NO. 1334/PD","","29.0","Longliners","Longline","03/02/2016","18/02/2017"
"FV06318","Fishing","CAHAYA MUTIARA - 28","Indonesia","Indonesia","YEB 5135","63 NO. 1499/PD","","168.0","Longliners","Longline","29/06/2015","28/06/2016"
"FV06297","Fishing","CAPE CHALLANGER","South Africa","South Africa","ZR4802","CTA799","","148.7","Longliners","Longline","01/02/2016","31/01/2017"
"FV04502","Fishing","CARMEN","Portugal","Portugal","CUDA8","V-1090-C","","181.5","Longliners","Longline","01/01/2008","31/12/2020"
"FV04539","Fishing","CARMEN TERE","Spain","Spain","ECBC","UNKNOWN","9098608","353.4","Longliners","Longline","01/01/2016","31/12/2017"
"FV06314","Fishing","CELTIC ROSE","Australia","Australia","UNKNOWN","XBW","NONE","180.0","Pole and line vessels","Baitboat (Pole and Line)","19/02/2016","30/11/2016"
"FV06332","Fishing","CHEN HSING 188","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2584","CT7-0584","8974532","575.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06330","Fishing","CHEN HSING 888","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2557","CT7-0557","8947450","581.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00055","Fishing","CHIEN CHUAN 6","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3037","CT6-1037","8749509","441.7","Longliners","Longline","01/04/2016","30/09/2017"
"FV04772","Fishing","CHIEN JUI 102","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BZEZ","CT6-1004","8417065","436.3","Longliners","Longline","01/04/2016","30/09/2017"
"FV05770","Fishing","CHIEN TSAO 322","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BVZF","CT6-1003","8417077","436.3","Longliners","Longline","01/04/2016","30/09/2017"
"FV00644","Fishing","CHIHO MARU 18","Japan","Japan","JPWO","1268","9291482","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00051","Fishing","CHIN CHANG LONG","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3013","CT6-1013","8648212","363.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04472","Fishing","CHIN LIANG MEI","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3021","CT6-1021","8648262","436.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV01542","Fishing","CHIN SHENG WIN","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2462","CT7-0462","8650667","564.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04930","Fishing","CHIU SHIH - 01","Indonesia","Indonesia","YEA. 5341","87 NO.512/PD","","87.0","Longliners","Longline","23/09/2015","06/10/2016"
"FV04931","Fishing","CHIU SHIH - 02","Indonesia","Indonesia","YEA. 5342","145 NO. 513/PD","","145.0","Longliners","Longline","16/09/2015","06/10/2016"
"FV04932","Fishing","CHIU SHIH - 8","Indonesia","Indonesia","YE. 4823","84 NO. 1140/PD","","84.0","Longliners","Longline","18/05/2015","15/07/2016"
"FV04933","Fishing","CHIU SHIH 05","Indonesia","Indonesia","YEA. 5338","88 NO. 611/PD","","88.0","Longliners","Longline","22/04/2015","28/05/2016"
"FV05775","Fishing","CHUN I 206","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2421","CT7-0421","8746856","707.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV06192","Fishing","CITERA SURYA NUSANTARA - V","Indonesia","Indonesia","YEB. 4997","29 NO. 5088/BC","","29.0","Longliners","Longline","10/08/2015","20/09/2016"
"FV06179","Fishing","CITRA NUSANTARA - V","Indonesia","Indonesia","YEB 4998","29 NO.218/BB","","29.0","Longliners","Longline","12/10/2015","11/11/2016"
"FV02202","Fishing","COASTAL ROVER","New Zealand","New Zealand","ZM9162","16104","","34.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV05322","Fishing","COMMISSION","New Zealand","New Zealand","ZME2194","900998","","95.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV03934","Fishing","CONCHITA","New Zealand","New Zealand","ZMA3512","9038","","32.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV04544","Fishing","COSTA AZUL UNO","Spain","Spain","ECBU","UNKNOWN","9297620","364.1","Longliners","Longline","01/01/2016","31/12/2017"
"FV04518","Fishing","COSTA DE SAO JORGE","Portugal","Portugal","CUTN","PD-464-C","","319.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV02634","Fishing","COSTA RICA C","New Zealand","New Zealand","ZMA2022","63176","","30.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV04546","Fishing","COYO CINCO","Spain","Spain","ECAW","UNKNOWN","8996592","281.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04547","Fishing","COYO SEPTIMO","Spain","Spain","ECHL","UNKNOWN","9338400","267.1","Longliners","Longline","01/01/2016","31/12/2017"
"FV06313","Fishing","COYO TERCERO","Spain","Spain","ECAN","UNKNOWN","9265304","186.1","Longliners","Longline","01/01/2016","31/12/2017"
"FV01403","Fishing","CRAIGMIN","Australia","Australia","UNKNOWN","W7M","","110.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV01271","Fishing","CYROAMA","Australia","Australia","UNKNOWN","LMO","8126173","192.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV06088","Fishing","DA SHENG","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3030","CT6-1030","8417778","407.7","Longliners","Longline","01/04/2015","30/09/2016"
"FV06126","Fishing","DANCUS JAYA","Indonesia","Indonesia","YEB 5143","29 NO. 1125/PD","","29.0","Longliners","Longline","30/09/2015","22/12/2016"
"FV02310","Fishing","DANIELLE","New Zealand","New Zealand","ZM2764","32841","","70.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV06079","Fishing","DAR LONG CHENG 288","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3415","CT6-1415","8674728","256.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV05951","Fishing","DAR LONG CHENG 378","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3411","CT6-1411","9726657","255.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV04503","Fishing","DAVID MALHEIROS","Portugal","Portugal","CUMA","PE-1984-C","","183.5","Longliners","Longline","01/01/2008","31/12/2020"
"FV05667","Fishing","DAYA BAHARI NUSANTARA 26","Indonesia","Indonesia","YEA. 4453","108 NO. 1135/PD","","108.0","Longliners","Longline","13/01/2016","03/02/2017"
"FV01272","Fishing","DELAMERE","Australia","Australia","UNKNOWN","LFB12585","8019978","146.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV04548","Fishing","DENVER","Spain","Spain","EAFV","UNKNOWN","9426518","308.7","Longliners","Longline","01/01/2016","31/12/2017"
"FV04549","Fishing","ECCE HOMO DIVINO","Spain","Spain","EAOJ","UNKNOWN","8959350","185.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04550","Fishing","ECCE HOMO GLORIOSO","Spain","Spain","ECBO","UNKNOWN","9339208","344.3","Longliners","Longline","01/01/2016","31/12/2017"
"FV01279","Fishing","EMPRIS LADY","Australia","Australia","UNKNOWN","LT9","8019954","171.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV02065","Fishing","EXOCET","New Zealand","New Zealand","ZMG2382","10852","","10.0","Multipurpose vessels","Longline,Troll","14/01/2016","31/12/2016"
"FV03289","Fishing","EXPATRIATE","New Zealand","New Zealand","ZM7614","7369","","25.0","Trollers","Troll","01/01/2016","31/12/2016"
"FV04767","Fishing","FARN SHUEN 1","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2442","CT7-0442","8749078","778.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06304","Fishing","FELICIA - 88","Indonesia","Indonesia","YEB 5777","168 NO. 1237/PD","","168.0","Longliners","Longline","15/07/2015","14/07/2016"
"FV05886","Fishing","FENG KUO 888","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BG3723","CT5-1723","8670019","198.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV03427","Fishing","FIFTY SOUTH","New Zealand","New Zealand","ZME2503","86055","","43.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV01285","Fishing","FINA K","Australia","Australia","UNKNOWN","LX6","8019916","207.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV00128","Fishing","FONG CHUN 136","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2537","CT7-0537","8628640","526.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00129","Fishing","FONG CHUN 166","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2538","CT7-0538","8749494","526.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00131","Fishing","FONG CHUN 36","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2542","CT7-0542","8947319","531.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00087","Fishing","FONG CHUN 66","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3332","CT6-1332","8628652","496.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04961","Fishing","FRANSISCA 8","Indonesia","Indonesia","YEA. 5239","149 NO. 596/PD","","149.0","Longliners","Longline","30/07/2015","28/06/2016"
"FV04116","Fishing","FU CHUN 128","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2329","CT7-0329","8628664","719.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04775","Fishing","FU MAO NO.268","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2594","CT7-0594","9395812","530.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV00035","Fishing","FU YU","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH2916","CT6-0916","8655411","478.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV05307","Fishing","FUH SHENG 11","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH2201","CT6-0201","8749315","379.5","Longliners","Longline","01/04/2016","30/09/2017"
"FV00509","Fishing","FUKUKYU MARU 32","Japan","Japan","JHWF","1218","8803989","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00507","Fishing","FUKUKYU MARU 38","Japan","Japan","JIZW","1219","9042738","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00506","Fishing","FUKUKYU MARU 51","Japan","Japan","JEDU","1220","9083603","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00505","Fishing","FUKUKYU MARU 7","Japan","Japan","JIRA","1223","8915005","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00284","Fishing","FUKUKYU MARU 8","Japan","Japan","JPVN","1217","9083598","424.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00522","Fishing","FUKURYU MARU 21","Japan","Japan","JJBJ","1221","9042740","409.0","Longliners","Longline","01/04/2016","31/03/2017"
